Contract.create                               required=['title', 'contract_type', 'party_id', 'start_date'] unbounded_numerics=[]
Contract.update                               required=['id'] unbounded_numerics=[]
ContractClauseDeviation.create                required=['title', 'document_id', 'clause_name', 'deviation_type'] unbounded_numerics=[]
ContractClauseDeviation.update                required=['id'] unbounded_numerics=[]
ContractClauseDeviation.revise                required=['id'] unbounded_numerics=[]
ContractObligation.create                     required=['title', 'contract_id'] unbounded_numerics=[]
ContractObligation.update                     required=['id'] unbounded_numerics=[]
ContractRenewal.create                        required=['title', 'contract_id', 'new_start_date', 'new_end_date'] unbounded_numerics=[]
ContractRenewal.update                        required=['id'] unbounded_numerics=[]
ContractRenewal.revise                        required=['id'] unbounded_numerics=[]
ContractDocument.create                       required=['title', 'document_type', 'party_id'] unbounded_numerics=[]
ContractDocument.update                       required=['id'] unbounded_numerics=[]
ContractPreferences.create                    required=[] unbounded_numerics=[]
ContractPreferences.update                    required=['id'] unbounded_numerics=[]
